SNo,Name,Symbol,Date,High,Low,Open,Close,Volume,Marketcap
1,Bitcoin,BTC,8/8/2015 23:59,279.928009,260.7099915,279.7420044,260.9970093,58533000,3778049024
2,Bitcoin,BTC,8/9/2015 23:59,267.0029907,260.4679871,261.1159973,265.0830078,23789600,3838130130
3,Bitcoin,BTC,8/10/2015 23:59,267.0320129,262.5960083,265.4779968,264.4700012,20979400,3830352069
4,Bitcoin,BTC,8/11/2015 23:59,270.3859863,264.0939941,264.3420105,270.3859863,25433900,3917142819
5,Bitcoin,BTC,8/12/2015 23:59,270.6730042,265.4689941,270.5979919,266.3760071,26815400,3859888131
6,Bitcoin,BTC,8/13/2015 23:59,266.2319946,262.8410034,266.1830139,264.0799866,27685500,3827588724
7,Bitcoin,BTC,8/14/2015 23:59,267.4660034,261.4779968,264.1319885,265.6799927,27091200,3851715726
8,Bitcoin,BTC,8/15/2015 23:59,266.6669922,261.29599,265.5289917,261.5509949,19321100,3792757590
9,Bitcoin,BTC,8/16/2015 23:59,262.4400024,257.0409851,261.8659973,258.5069885,29717000,3749501856
10,Bitcoin,BTC,8/17/2015 23:59,260.5050049,257.1170044,258.4899902,257.9760132,21617900,3742748055
11,Bitcoin,BTC,8/18/2015 23:59,257.9930115,211.0789948,257.9259949,211.0789948,42147200,3063104570
12,Bitcoin,BTC,8/19/2015 23:59,237.4089966,222.7660065,225.6710052,226.6840057,60869200,3290448603
13,Bitcoin,BTC,8/20/2015 23:59,237.3650055,226.8990021,226.8990021,235.3500061,32275000,3417123139
14,Bitcoin,BTC,8/21/2015 23:59,236.4320068,231.723999,235.3549957,232.5690002,23173800,3377704243
15,Bitcoin,BTC,8/22/2015 23:59,234.9570007,222.7039948,232.6620026,230.3899994,23205900,3346961926
16,Bitcoin,BTC,8/23/2015 23:59,232.7050018,225.5800018,230.3760071,228.1690063,18406600,3315466697
17,Bitcoin,BTC,8/24/2015 23:59,228.1390076,210.4429932,228.1119995,210.4949951,59220700,3059460627
18,Bitcoin,BTC,8/25/2015 23:59,226.3209991,199.5670013,210.0679932,221.6089935,61089200,3221751642
