SNo,Name,Symbol,Date,High,Low,Open,Close,Volume,Marketcap
1,Ethereum,ETH,8/8/2015 23:59,2.798810,0.714725,2.793760,0.753325,674188,45486894.24
2,Ethereum,ETH,8/9/2015 23:59,0.879810,0.629191,0.706136,0.701897,532170,42399573.5
3,Ethereum,ETH,8/10/2015 23:59,0.729854,0.636546,0.713989,0.708448,405283,42818364.39
4,Ethereum,ETH,8/11/2015 23:59,1.131410,0.663235,0.708087,1.067860,1463100,64569288.43
5,Ethereum,ETH,8/12/2015 23:59,1.289940,0.883608,1.058750,1.217440,2150620,73645010.99
6,Ethereum,ETH,8/13/2015 23:59,1.965070,1.171990,1.222240,1.827670,4068680,110607191.7
7,Ethereum,ETH,8/14/2015 23:59,2.261880,1.754750,1.810920,1.827870,4637030,110672321.8
8,Ethereum,ETH,8/15/2015 23:59,1.877240,1.570980,1.802890,1.688900,2554360,102303608.5
9,Ethereum,ETH,8/16/2015 23:59,1.695240,1.089810,1.684350,1.566030,3550790,94901005.35
10,Ethereum,ETH,8/17/2015 23:59,1.581190,1.185340,1.581190,1.203610,1942830,87295366.5
11,Ethereum,ETH,8/18/2015 23:59,1.331160,1.087050,1.215300,1.087050,1485680,78868413.08
12,Ethereum,ETH,8/19/2015 23:59,1.317990,1.166930,1.166930,1.258860,1486240,91366391.44
13,Ethereum,ETH,8/20/2015 23:59,1.533300,1.248330,1.251180,1.464920,2843760,106351420.2
14,Ethereum,ETH,8/21/2015 23:59,1.556420,1.352800,1.477520,1.395290,2020970,101331855.6
15,Ethereum,ETH,8/22/2015 23:59,1.476410,1.352680,1.396290,1.379230,948310,100201825.7
16,Ethereum,ETH,8/23/2015 23:59,1.409700,1.297770,1.375000,1.352590,1589300,98300351.35
17,Ethereum,ETH,8/24/2015 23:59,1.362780,1.231270,1.345590,1.231270,924920,89515256.55
18,Ethereum,ETH,8/25/2015 23:59,1.241820,1.128650,1.228610,1.140190,1307180,82922632.91
19,Ethereum,ETH,8/26/2015 23:59,1.202480,1.061830,1.132790,1.159980,1056750,84390923.54
20,Ethereum,ETH,8/27/2015 23:59,1.188830,1.137290,1.169810,1.147700,686662,83524585.39
21,Ethereum,ETH,8/28/2015 23:59,1.207790,1.120500,1.147660,1.191380,721872,86731076.64
22,Ethereum,ETH,8/29/2015 23:59,1.207210,1.149490,1.193530,1.182550,375377,86113894.69
23,Ethereum,ETH,8/30/2015 23:59,1.367990,1.170610,1.182990,1.319270,1337650,96097349.11
24,Ethereum,ETH,8/31/2015 23:59,1.396150,1.201010,1.321380,1.358240,1447180,98963974.9
25,Ethereum,ETH,9/1/2015 23:59,1.392740,1.336630,1.353480,1.351610,778862,98507500.05
26,Ethereum,ETH,9/2/2015 23:59,1.354910,1.264620,1.351570,1.294790,883769,94389544.25
27,Ethereum,ETH,9/3/2015 23:59,1.309990,1.211030,1.295190,1.264930,702991,92234142.48
28,Ethereum,ETH,9/4/2015 23:59,1.302520,1.236810,1.264930,1.274410,474391,92953700.98
29,Ethereum,ETH,9/5/2015 23:59,1.342300,1.271190,1.280560,1.338810,448453,97683882.54
30,Ethereum,ETH,9/6/2015 23:59,1.373640,1.294250,1.338010,1.295830,491968,94580163.79
31,Ethereum,ETH,9/7/2015 23:59,1.305480,1.237850,1.295900,1.246650,489014,91020734.55
32,Ethereum,ETH,9/8/2015 23:59,1.282380,1.230610,1.246650,1.242430,427892,90743242.5
33,Ethereum,ETH,9/9/2015 23:59,1.260480,1.201840,1.239350,1.206510,366748,88150124.71
34,Ethereum,ETH,9/10/2015 23:59,1.221570,1.136150,1.207610,1.165770,662782,85202731.66
35,Ethereum,ETH,9/11/2015 23:59,1.169070,0.940675,1.164970,0.982978,1942600,71868264.58
36,Ethereum,ETH,9/12/2015 23:59,1.114890,0.969780,0.987228,1.038740,772430,75971273.15
37,Ethereum,ETH,9/13/2015 23:59,1.042700,0.902832,1.041780,0.936003,644138,68480586.72
38,Ethereum,ETH,9/14/2015 23:59,0.949387,0.871760,0.940566,0.875622,741085,64084134.62
39,Ethereum,ETH,9/15/2015 23:59,1.045540,0.875189,0.875189,0.944410,703390,69141408.75
40,Ethereum,ETH,9/16/2015 23:59,0.952698,0.901639,0.941977,0.907175,615593,66437873.29
41,Ethereum,ETH,9/17/2015 23:59,0.909204,0.831132,0.906865,0.874231,897940,64046215.95
42,Ethereum,ETH,9/18/2015 23:59,0.888102,0.833908,0.874574,0.853685,484622,62561883.08
43,Ethereum,ETH,9/19/2015 23:59,0.911883,0.833784,0.849603,0.882391,386988,64687992
44,Ethereum,ETH,9/20/2015 23:59,0.947741,0.873205,0.881191,0.938445,508314,68822183.06
45,Ethereum,ETH,9/21/2015 23:59,0.957326,0.878301,0.941496,0.919047,424039,67422915.09
46,Ethereum,ETH,9/22/2015 23:59,0.919337,0.865225,0.919337,0.901796,487914,66180153.1
47,Ethereum,ETH,9/23/2015 23:59,0.908910,0.885136,0.903560,0.893406,200541,65587498.98
48,Ethereum,ETH,9/24/2015 23:59,0.908571,0.793460,0.896796,0.813610,842505,59749887.52
49,Ethereum,ETH,9/25/2015 23:59,0.825665,0.712745,0.820031,0.736223,903457,54085581.31
50,Ethereum,ETH,9/26/2015 23:59,0.787544,0.709328,0.737630,0.785964,369620,57759115.39
51,Ethereum,ETH,9/27/2015 23:59,0.791277,0.719169,0.791277,0.720839,413801,52990396.22
52,Ethereum,ETH,9/28/2015 23:59,0.725677,0.557062,0.723715,0.582886,1320890,42863006.1
53,Ethereum,ETH,9/29/2015 23:59,0.675830,0.558346,0.579414,0.661146,913992,48633258.78
54,Ethereum,ETH,9/30/2015 23:59,0.746722,0.635861,0.661192,0.738644,619926,54351468.24
